Lemma,ConstraintRatio,KStrategy,B-Cubed Precision,B-Cubed Recall,F-B-Cubed,Method
aboutir,0.15,oracle,0.9642857142857143,1.0,0.9818181768198347,COP-KMeans
investir,0.15,oracle,0.8503870513722731,0.7612135763396268,0.803333224746115,COP-KMeans
traduire,0.15,oracle,1.0,1.0,0.999999995,COP-KMeans
témoigner,0.15,oracle,1.0,1.0,0.999999995,COP-KMeans
juger,0.15,oracle,0.7283674339300938,0.6644042232277526,0.6949170644061792,COP-KMeans
justifier,0.15,oracle,0.9479166666666666,0.9583333333333334,0.9530965341622623,COP-KMeans
viser,0.15,oracle,0.5216747181964574,0.5177922077922078,0.5197262072167863,COP-KMeans
prononcer,0.15,oracle,0.44715743440233235,0.5129823357914595,0.477813480699501,COP-KMeans
accomplir,0.15,oracle,0.7170524691358025,0.5528846153846154,0.624357348595211,COP-KMeans
convenir,0.15,oracle,0.6381868131868133,0.6570113759789631,0.6474622903792822,COP-KMeans
acquérir,0.15,oracle,0.7754285714285714,0.8169264069264068,0.7956367535101445,COP-KMeans
achever,0.15,oracle,1.0,1.0,0.999999995,COP-KMeans
observer,0.15,oracle,0.7150909090909091,0.6256862745098037,0.6674077825613184,COP-KMeans
adapter,0.15,oracle,0.668438596491228,0.6508974358974359,0.6595514024210205,COP-KMeans
admettre,0.15,oracle,0.9716312056737589,1.0,0.9856115057924022,COP-KMeans
entraîner,0.15,oracle,0.7861319966583125,0.8099415204678362,0.7978591635540925,COP-KMeans
payer,0.15,oracle,0.5471304347826088,0.5295767195767196,0.5382104817797259,COP-KMeans
respecter,0.15,oracle,0.9244649079143852,0.9244649079143852,0.9244649029143852,COP-KMeans
affecter,0.15,oracle,0.9166666666666666,0.8699494949494951,0.8926972859339253,COP-KMeans
demeurer,0.15,oracle,0.889855072463768,0.889855072463768,0.8898550674637682,COP-KMeans
aggraver,0.15,oracle,1.0,1.0,0.999999995,COP-KMeans
agir,0.15,oracle,0.725,0.7023848684210526,0.7135132749459461,COP-KMeans
ajouter,0.15,oracle,0.901047619047619,0.901047619047619,0.901047614047619,COP-KMeans
alimenter,0.15,oracle,0.523191094619666,0.5190334198195408,0.5211039592561688,COP-KMeans
coûter,0.15,oracle,0.4747873345935728,0.5432712215320911,0.5067258482274336,COP-KMeans
relancer,0.15,oracle,0.5555555555555555,0.5827067669172933,0.5688073344523862,COP-KMeans
préférer,0.15,oracle,0.6261904761904762,0.5690196078431373,0.596237700761907,COP-KMeans
appliquer,0.15,oracle,0.47461023276240666,0.4628858024691358,0.4686746990981298,COP-KMeans
apporter,0.15,oracle,0.5528165869218501,0.4936363636363636,0.5215530559164337,COP-KMeans
fonder,0.15,oracle,0.9119999999999999,0.8946666666666667,0.9032501795023054,COP-KMeans
appuyer,0.15,oracle,0.9271137026239068,0.9623233908948196,0.9443904752294359,COP-KMeans
changer,0.15,oracle,0.4100790513833991,0.5268115942028985,0.46117313161440054,COP-KMeans
chuter,0.15,oracle,0.9449035812672175,0.9420289855072463,0.9434640887751375,COP-KMeans
soutenir,0.15,oracle,0.6622529644268775,0.5304715153943765,0.5890821168040105,COP-KMeans
